,id,name,city,lon,lat,planned_arrival_time,gtfs_line_ref,gtfs_line_start_time,gtfs_ride_id
39,15800095,יהודה הלוי/ישעיהו,קרית אונו,34.865395,32.061636,2023-07-31 21:08:05+00:00,976,2023-07-31 21:00:00+00:00,49247757
40,15788625,מעזריטש/חב''ד,ביתר עילית,35.11302,31.700601,2023-07-31 21:08:14+00:00,10533,2023-07-31 21:00:00+00:00,49253722
41,15789686,שדרות נהר הירדן/קדושת אהרן,בית שמש,34.991927,31.733992,2023-07-31 21:08:48+00:00,10534,2023-07-31 21:00:00+00:00,49256207
42,15788626,בית כנסת חב''ד/המגיד ממעזריטש,ביתר עילית,35.114853,31.701026,2023-07-31 21:08:55+00:00,10533,2023-07-31 21:00:00+00:00,49253722
43,15788627,בית כנסת באיאן/המגיד ממעזריטש,ביתר עילית,35.116053,31.702492,2023-07-31 21:08:59+00:00,10533,2023-07-31 21:00:00+00:00,49253722
44,15793870,מיכאל וולך/דרך לוי אשכול,קרית אונו,34.862222,32.060958,2023-07-31 21:08:59+00:00,976,2023-07-31 21:00:00+00:00,49247757
45,15792688,המלך ג'ורג'/זמנהוף,תל אביב יפו,34.777315,32.076897,2023-07-31 21:09:03+00:00,2328,2023-07-31 21:00:00+00:00,49282077
46,15789687,שדרות נהר הירדן/האדמו''ר מבעלז,בית שמש,34.993077,31.731931,2023-07-31 21:09:08+00:00,10534,2023-07-31 21:00:00+00:00,49256207
47,15793944,מועצה דתית קריית אונו/דוד רמז,קרית אונו,34.857775,32.060479,2023-07-31 21:09:59+00:00,976,2023-07-31 21:00:00+00:00,49247757
48,15788628,מעזריטש/הר''ן,ביתר עילית,35.118873,31.702517,2023-07-31 21:09:59+00:00,10533,2023-07-31 21:00:00+00:00,49253722
49,15805402,ת.מרכזית תל אביב קומה 7/רציפים,תל אביב יפו,34.779261,32.056141,2023-07-31 21:10:00+00:00,2542,2023-07-31 21:10:00+00:00,49246646
50,15789688,שד. נהר הירדן / רבי יהודה הנשיא,בית שמש,34.993281,31.728653,2023-07-31 21:10:08+00:00,10534,2023-07-31 21:00:00+00:00,49256207
51,15788629,מעזריטש/חיי יצחק,ביתר עילית,35.121881,31.70211,2023-07-31 21:10:28+00:00,10533,2023-07-31 21:00:00+00:00,49253722
52,15792386,המלך ג'ורג'/בוגרשוב,תל אביב יפו,34.774835,32.07329,2023-07-31 21:10:38+00:00,2328,2023-07-31 21:00:00+00:00,49282077
53,15793897,הנשיא / יהודה המכבי,קרית אונו,34.8546,32.060082,2023-07-31 21:10:51+00:00,976,2023-07-31 21:00:00+00:00,49247757
54,15792668,המלך ג'ורג'/רש''י,תל אביב יפו,34.773361,32.071897,2023-07-31 21:10:59+00:00,2328,2023-07-31 21:00:00+00:00,49282077
55,15793894,הנשיא / שד' יעל,קרית אונו,34.852473,32.059621,2023-07-31 21:10:59+00:00,976,2023-07-31 21:00:00+00:00,49247757
56,15789689,שד.נהר הירדן/רבי לויטס,בית שמש,34.994517,31.726951,2023-07-31 21:10:59+00:00,10534,2023-07-31 21:00:00+00:00,49256207
57,15788630,מעזריטש/דרך האר''י,ביתר עילית,35.125284,31.7035,2023-07-31 21:11:08+00:00,10533,2023-07-31 21:00:00+00:00,49253722
58,15793892,הנשיא/שד. יהודית,קרית אונו,34.850796,32.05925,2023-07-31 21:11:31+00:00,976,2023-07-31 21:00:00+00:00,49247757
59,15788716,דרך האר''י/ כביש 375,ביתר עילית,35.126243,31.704533,2023-07-31 21:11:41+00:00,10533,2023-07-31 21:00:00+00:00,49253722
60,15789691,שד.נהר הירדן/ריב''ל,בית שמש,34.99414,31.723924,2023-07-31 21:11:53+00:00,10534,2023-07-31 21:00:00+00:00,49256207
61,15799561,שדרות בן גוריון/הנשיא,קרית אונו,34.849641,32.058077,2023-07-31 21:12:11+00:00,976,2023-07-31 21:00:00+00:00,49247757
62,15793431,אלנבי/בלפור,תל אביב יפו,34.770974,32.067978,2023-07-31 21:12:33+00:00,2328,2023-07-31 21:00:00+00:00,49282077
63,15792660,אלנבי/מונטיפיורי,תל אביב יפו,34.771809,32.066114,2023-07-31 21:13:18+00:00,2328,2023-07-31 21:00:00+00:00,49282077
64,15810741,הרכבת/המסגר,תל אביב יפו,34.783556,32.059556,2023-07-31 21:13:59+00:00,2542,2023-07-31 21:10:00+00:00,49246646
65,15789692,'שדרות נחל קישון ב,בית שמש,34.99021,31.717912,2023-07-31 21:13:59+00:00,10534,2023-07-31 21:00:00+00:00,49256207
66,15800102,ביה''ס ויצמן/מנדס,רמת גן,34.8486,32.054498,2023-07-31 21:13:59+00:00,976,2023-07-31 21:00:00+00:00,49247757
67,15791026,מסעף מבוא ביתר,מטה יהודה,35.102603,31.719594,2023-07-31 21:14:38+00:00,10533,2023-07-31 21:00:00+00:00,49253722
68,15811437,ת.רכבת תל אביב - סבידור/רציפים C,תל אביב יפו,34.795844,32.08255,2023-07-31 21:15:00+00:00,2328,2023-07-31 21:15:00+00:00,49282649
69,15793447,חזון אי''ש/האדמור מנדבורנא,בני ברק,34.833392,32.076786,2023-07-31 21:15:00+00:00,6821,2023-07-31 21:15:00+00:00,49274661
70,15800101,מנדס/גפונוב,רמת גן,34.844192,32.052131,2023-07-31 21:15:10+00:00,976,2023-07-31 21:00:00+00:00,49247757
71,15789694,נחל שורק/נחל הקישון,בית שמש,34.990192,31.714619,2023-07-31 21:15:19+00:00,10534,2023-07-31 21:00:00+00:00,49256207
72,15791242,מסעף צור הדסה,מטה יהודה,35.09109,31.722368,2023-07-31 21:15:30+00:00,10533,2023-07-31 21:00:00+00:00,49253722
73,15792658,מגדל שלום/מונטיפיורי,תל אביב יפו,34.769228,32.064693,2023-07-31 21:15:36+00:00,2328,2023-07-31 21:00:00+00:00,49282077
74,15793965,דרך שיבא/עמק האלה,רמת גן,34.841436,32.050801,2023-07-31 21:15:59+00:00,976,2023-07-31 21:00:00+00:00,49247757
75,15792445,ת.רק''ל ארלוזורוב/דרך מנחם בגין,תל אביב יפו,34.795214,32.08005,2023-07-31 21:15:59+00:00,2328,2023-07-31 21:15:00+00:00,49282649
76,15792525,עזרא/דמשק אליעזר,בני ברק,34.836184,32.076564,2023-07-31 21:16:20+00:00,6821,2023-07-31 21:15:00+00:00,49274661
77,15789695,נחל שורק/נחל משמר,בית שמש,34.992405,31.715654,2023-07-31 21:16:31+00:00,10534,2023-07-31 21:00:00+00:00,49256207
78,15792306,חברת החשמל/דרך מנחם בגין,תל אביב יפו,34.777575,32.061845,2023-07-31 21:16:40+00:00,2542,2023-07-31 21:10:00+00:00,49246646
79,15800107,רמת אפעל/דרך שיבא,רמת גן,34.837174,32.052716,2023-07-31 21:17:20+00:00,976,2023-07-31 21:00:00+00:00,49247757
80,15792730,בית הדר דפנה/שד' שאול המלך,תל אביב יפו,34.790819,32.077723,2023-07-31 21:17:26+00:00,2328,2023-07-31 21:15:00+00:00,49282649
81,15792623,מסוף כרמלית/הכרמל,תל אביב יפו,34.766098,32.066363,2023-07-31 21:17:35+00:00,2328,2023-07-31 21:00:00+00:00,49282077
82,15792332,דרך מנחם בגין/אלנבי,תל אביב יפו,34.775001,32.06059,2023-07-31 21:17:44+00:00,2542,2023-07-31 21:10:00+00:00,49246646
83,15793322,נחמיה/עזרא,בני ברק,34.837455,32.079161,2023-07-31 21:17:54+00:00,6821,2023-07-31 21:15:00+00:00,49274661
84,15804651,כביש 375/מטע,מטע,35.063229,31.713239,2023-07-31 21:17:54+00:00,10533,2023-07-31 21:00:00+00:00,49253722
85,15789696,נחל שורק/נחל נחשון,בית שמש,34.994199,31.714846,2023-07-31 21:17:59+00:00,10534,2023-07-31 21:00:00+00:00,49256207
86,15792387,בית המשפט/שד' שאול המלך,תל אביב יפו,34.787868,32.076736,2023-07-31 21:18:18+00:00,2328,2023-07-31 21:15:00+00:00,49282649
87,15792222,אלנבי/יהודה הלוי,תל אביב יפו,34.77366,32.061549,2023-07-31 21:18:23+00:00,2542,2023-07-31 21:10:00+00:00,49246646
88,15793449,המרד/פינס,תל אביב יפו,34.764104,32.06448,2023-07-31 21:18:29+00:00,2328,2023-07-31 21:00:00+00:00,49282077
89,15808769,דרך שיבא/אלוף שדה,רמת גן,34.833844,32.056602,2023-07-31 21:18:59+00:00,976,2023-07-31 21:00:00+00:00,49247757
90,15793448,מרכז הטקסטיל/המרד,תל אביב יפו,34.763501,32.063189,2023-07-31 21:18:59+00:00,2328,2023-07-31 21:00:00+00:00,49282077
91,15789697,נחל שורק/לכיש,בית שמש,34.996277,31.713796,2023-07-31 21:18:59+00:00,10534,2023-07-31 21:00:00+00:00,49256207
92,15803387,חזון איש/נחמיה,בני ברק,34.834663,32.080841,2023-07-31 21:18:59+00:00,6821,2023-07-31 21:15:00+00:00,49274661
93,15803390,חזון אי''ש/האדמו''ר מגור,בני ברק,34.835422,32.082575,2023-07-31 21:19:18+00:00,6821,2023-07-31 21:15:00+00:00,49274661
94,15792615,פרופ' קויפמן/שנקר,תל אביב יפו,34.761281,32.062428,2023-07-31 21:19:45+00:00,2328,2023-07-31 21:00:00+00:00,49282077
95,15792216,לונדון מיניסטור/שד' שאול המלך,תל אביב יפו,34.782893,32.075664,2023-07-31 21:19:59+00:00,2328,2023-07-31 21:15:00+00:00,49282649
96,15793079,חזון אי''ש/רבנו תם,בני ברק,34.836367,32.084589,2023-07-31 21:19:59+00:00,6821,2023-07-31 21:15:00+00:00,49274661
97,15792452,שד' רוטשילד/בצלאל יפה,תל אביב יפו,34.775308,32.064045,2023-07-31 21:19:59+00:00,2542,2023-07-31 21:10:00+00:00,49246646
98,15790930,נחל לוז/נחל רפאים,בית שמש,34.996249,31.711116,2023-07-31 21:20:01+00:00,10534,2023-07-31 21:00:00+00:00,49256207
99,15792181,אלוף שדה/הירדן,רמת גן,34.82732,32.059076,2023-07-31 21:20:59+00:00,976,2023-07-31 21:00:00+00:00,49247757
100,15792613,בית האצ''ל/גולדמן,תל אביב יפו,34.758658,32.058253,2023-07-31 21:21:18+00:00,2328,2023-07-31 21:00:00+00:00,49282077
101,15790993,נחל לוז/נחל גילה,בית שמש,34.994111,31.709542,2023-07-31 21:21:20+00:00,10534,2023-07-31 21:00:00+00:00,49256207
102,15792360,שד' רוטשילד/בלפור,תל אביב יפו,34.777553,32.066146,2023-07-31 21:21:21+00:00,2542,2023-07-31 21:10:00+00:00,49246646
103,15792375,כיכר רבין/מלכי ישראל,תל אביב יפו,34.780657,32.0796,2023-07-31 21:21:59+00:00,2328,2023-07-31 21:15:00+00:00,49282649
104,15809212,כיכר השעון/נחום גולדמן,תל אביב יפו,34.756916,32.056288,2023-07-31 21:21:59+00:00,2328,2023-07-31 21:00:00+00:00,49282077
105,15804652,כביש 3855/כביש 375,מטה יהודה,35.010889,31.696722,2023-07-31 21:21:59+00:00,10533,2023-07-31 21:00:00+00:00,49253722
106,15807612,שדרות נהר הירקון/נחל לוז,בית שמש,34.996115,31.708245,2023-07-31 21:22:21+00:00,10534,2023-07-31 21:00:00+00:00,49256207
107,15803359,רבי עקיבא/גן ורשה,בני ברק,34.832095,32.086061,2023-07-31 21:22:31+00:00,6821,2023-07-31 21:15:00+00:00,49274661
108,15792456,שד' רוטשילד/שיינקין,תל אביב יפו,34.778387,32.068653,2023-07-31 21:22:33+00:00,2542,2023-07-31 21:10:00+00:00,49246646
109,15792606,שוק הפשפשים/יפת,תל אביב יפו,34.755347,32.054049,2023-07-31 21:22:59+00:00,2328,2023-07-31 21:00:00+00:00,49282077
110,15792161,אלוף שדה/דרך יצחק רבין,רמת גן,34.820239,32.059607,2023-07-31 21:22:59+00:00,976,2023-07-31 21:00:00+00:00,49247757
111,15808627,שדרות נהר הירקון/3855,בית שמש,35.007037,31.706239,2023-07-31 21:22:59+00:00,10533,2023-07-31 21:00:00+00:00,49253722
112,15810113,החשמונאים/שד' רוטשילד,תל אביב יפו,34.779325,32.070312,2023-07-31 21:23:13+00:00,2542,2023-07-31 21:10:00+00:00,49246646
113,15789629,שדרות נהר הירקון/אליהו הנביא,בית שמש,35.001165,31.706773,2023-07-31 21:23:35+00:00,10534,2023-07-31 21:00:00+00:00,49256207
114,15810467,שדרות נהר הירקון/העונות,בית שמש,35.003648,31.705271,2023-07-31 21:23:59+00:00,10533,2023-07-31 21:00:00+00:00,49253722
115,15792412,רבי עקיבא/הרב קוק,בני ברק,34.828114,32.087547,2023-07-31 21:23:59+00:00,6821,2023-07-31 21:15:00+00:00,49274661
116,15792605,יפת/לואי פסטר,תל אביב יפו,34.752929,32.051606,2023-07-31 21:23:59+00:00,2328,2023-07-31 21:00:00+00:00,49282077
117,15792688,המלך ג'ורג'/זמנהוף,תל אביב יפו,34.777315,32.076897,2023-07-31 21:24:03+00:00,2328,2023-07-31 21:15:00+00:00,49282649
